COMUNA;TELEFONO;VIVIENDA;PARED;PISO;ENERGIA;ALCANTA;GAS;BASURA;ACUEDUC;ESTRATO;ELIMBASURA;THOGAR;TENEVIV;USOSANI;USANITAR;DUCHA;AGUA;LLEGA;SUMINIS;PREPARAN;COCINA;COCINAN;ALUMBRA;USOTELE;NEVERA;LAVADORA;TVCOLOR;TVCABLE;CALENTA;HORNO;AIRE;COMPUTADOR;MOTO;AUTO1;SEXO;FECHANTO;PARENTES;ESTCIVIL;CONYUVIVE;DISCAPA;CARNET;EMBARAZA;ASISTE;TIPOESTA;GRADO;NIVEL;INGRESOS;PERCIBE;PUNTAJE
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;1;2;2;1;13/04/1959;1;2;2;0;3;2;2;0;5;1;497000;1;50.95
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;1;2;2;2;18/09/1961;2;2;1;0;3;1;2;0;2;2;0;2;50.95
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;1;2;2;2;16/12/1988;3;5;0;0;3;2;2;0;3;3;497000;1;50.95
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;1;2;2;2;13/01/1994;3;5;0;0;4;2;1;4;3;2;0;2;50.95
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;1;2;2;2;23/01/1996;3;5;0;0;4;2;1;4;2;2;0;2;50.95
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;2;21/08/1933;1;4;0;0;2;1;2;0;3;1;500000;1;41.83
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;2;23/05/1965;3;5;0;0;4;2;2;0;6;2;0;2;41.83
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;1;24/05/2002;4;5;0;0;4;2;1;1;0;0;0;2;41.83
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;2;8/07/1967;3;5;0;0;4;1;2;0;6;2;0;2;41.83
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;1;14/06/1952;3;4;0;0;3;2;2;0;4;1;300000;1;41.83
